ChunkID, Package Name, Class Type, Hard or Soft Chunk, File Size, Other Chunks
0,/Engine/ArtTools/RenderToTexture/Meshes/S_1_Unit_Plane,StaticMesh,Hard,6426,None
0,/Engine/BasicShapes/Cone,StaticMesh,Hard,44971,None
0,/Engine/BasicShapes/Cube,StaticMesh,Hard,9648,None
0,/Engine/BasicShapes/Cylinder,StaticMesh,Hard,68329,None
0,/Engine/BasicShapes/Plane,StaticMesh,Hard,4887,None
0,/Engine/BasicShapes/Sphere,StaticMesh,Hard,97356,None
0,/Engine/EditorBlueprintResources/StandardMacros,Blueprint,Hard,1017,None
0,/Engine/EditorLandscapeResources/DataLayer,LandscapeLayerInfoObject,Hard,746,None
0,/Engine/EditorMaterials/Camera/CineMat,Material,Hard,131856,None
0,/Engine/EditorMaterials/Camera/MI_CineMat_Rig,MaterialInstanceConstant,Hard,1650,None
0,/Engine/EditorMaterials/GizmoMaterial,Material,Hard,22068,None
0,/Engine/EditorMaterials/MAT_Groups_Toggle,Texture2D,Hard,1473,None
0,/Engine/EditorMaterials/MAT_Groups_Visibility,Texture2D,Hard,1481,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_ColorTrack,Texture2D,Hard,1761,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Anim,Texture2D,Hard,1483,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_AudioMaster,Texture2D,Hard,1497,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Director,Texture2D,Hard,1491,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Event,Texture2D,Hard,1485,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Fade,Texture2D,Hard,1299,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Float,Texture2D,Hard,1485,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Move,Texture2D,Hard,1483,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Slomo,Texture2D,Hard,1485,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Sound,Texture2D,Hard,1485,None
0,/Engine/EditorMaterials/MatineeGroups/MAT_Groups_Vector,Texture2D,Hard,1487,None
0,/Engine/EditorMaterials/ParticleSystems/PSysThumbnail_NoImage,Texture2D,Hard,44878,None
0,/Engine/EditorMaterials/ParticleSystems/PSysThumbnail_OOD,Texture2D,Hard,23002,None
0,/Engine/EditorMaterials/PreviewShadowIndicator,Texture2D,Hard,1399549,None
0,/Engine/EditorMaterials/PreviewShadowIndicatorMaterial,Material,Hard,77521,None
0,/Engine/EditorMeshes/Camera/SM_CraneRig_Arm,StaticMesh,Hard,5278,None
0,/Engine/EditorMeshes/Camera/SM_CraneRig_Base,StaticMesh,Hard,104884,None
0,/Engine/EditorMeshes/Camera/SM_CraneRig_Body,StaticMesh,Hard,96476,None
0,/Engine/EditorMeshes/Camera/SM_CraneRig_Mount,StaticMesh,Hard,22690,None
0,/Engine/EditorMeshes/Camera/SM_RailRig_Mount,StaticMesh,Hard,163912,None
0,/Engine/EditorMeshes/Camera/SM_RailRig_Track,StaticMesh,Hard,134128,None
0,/Engine/EditorResources/BSPVertex,Texture2D,Hard,1457,None
0,/Engine/EditorResources/EmptyActor,Texture2D,Hard,351017,None
0,/Engine/EditorResources/LightIcons/S_LightError,Texture2D,Hard,351099,None
0,/Engine/EditorResources/S_Actor,Texture2D,Hard,88629,None
0,/Engine/EditorResources/S_Trigger,Texture2D,Hard,350912,None
0,/Engine/EditorResources/SequenceRecorder/Countdown,Texture2D,Hard,148609,None
0,/Engine/EditorResources/SequenceRecorder/RecordingIndicator,Texture2D,Hard,2743,None
0,/Engine/EditorSounds/Notifications/CompileFailed,SoundWave,Hard,12415,None
0,/Engine/EditorSounds/Notifications/CompileFailed_Cue,SoundCue,Hard,1850,None
0,/Engine/EditorSounds/Notifications/CompileStart_Cue,SoundCue,Hard,1905,None
0,/Engine/EditorSounds/Notifications/CompileSuccess,SoundWave,Hard,12626,None
0,/Engine/EditorSounds/Notifications/CompileSuccess_Cue,SoundCue,Hard,1856,None
0,/Engine/EngineDamageTypes/DmgTypeBP_Environmental,Blueprint,Hard,1174,None
0,/Engine/EngineDebugMaterials/BoneWeightMaterial,Material,Hard,344360,None
0,/Engine/EngineDebugMaterials/ClothMaterial,Material,Hard,31861,None
0,/Engine/EngineDebugMaterials/ClothMaterial_WF,Material,Hard,51574,None
0,/Engine/EngineDebugMaterials/DebugEditorMaterial,Material,Hard,23284,None
0,/Engine/EngineDebugMaterials/DebugMeshMaterial,Material,Hard,37960,None
0,/Engine/EngineDebugMaterials/GeomMaterial,Material,Hard,34587,None
0,/Engine/EngineDebugMaterials/HeatmapGradient,Texture2D,Hard,5563,None
0,/Engine/EngineDebugMaterials/M_SimpleTranslucent,Material,Hard,148095,None
0,/Engine/EngineFonts/Faces/RobotoBold,FontFace,Hard,732,None
0,/Engine/EngineFonts/Faces/RobotoBoldItalic,FontFace,Hard,758,None
0,/Engine/EngineFonts/Faces/RobotoItalic,FontFace,Hard,746,None
0,/Engine/EngineFonts/Faces/RobotoLight,FontFace,Hard,866,None
0,/Engine/EngineFonts/Faces/RobotoRegular,FontFace,Hard,741,None
0,/Engine/EngineFonts/Faces/RobotoTiny,FontFace,Hard,859,None
0,/Engine/EngineFonts/Roboto,Font,Hard,2507,None
0,/Engine/EngineFonts/RobotoDistanceField,Font,Hard,138925,None
0,/Engine/EngineFonts/RobotoTiny,Font,Hard,1504,None
0,/Engine/EngineMaterials/BaseFlattenDiffuseMap,Texture2D,Hard,1845,None
0,/Engine/EngineMaterials/BaseFlattenEmissiveMap,Texture2D,Hard,1907,None
0,/Engine/EngineMaterials/BaseFlattenGrayscaleMap,Texture2D,Hard,6767,None
0,/Engine/EngineMaterials/BaseFlattenMaterial,Material,Hard,190461,None
0,/Engine/EngineMaterials/BaseFlattenNormalMap,Texture2D,Hard,1300,None
0,/Engine/EngineMaterials/DefaultBloomKernel,Texture2D,Hard,33555651,None
0,/Engine/EngineMaterials/DefaultBokeh,Texture2D,Hard,23213,None
0,/Engine/EngineMaterials/DefaultDeferredDecalMaterial,Material,Hard,529827,None
0,/Engine/EngineMaterials/DefaultDiffuse,Texture2D,Hard,700379,None
0,/Engine/EngineMaterials/DefaultLightFunctionMaterial,Material,Hard,70851,None
0,/Engine/EngineMaterials/DefaultMaterial,Material,Hard,429622,None
0,/Engine/EngineMaterials/DefaultPhysicalMaterial,PhysicalMaterial,Hard,654,None
0,/Engine/EngineMaterials/DefaultPostProcessMaterial,Material,Hard,39280,None
0,/Engine/EngineMaterials/DefaultTextMaterialOpaque,Material,Hard,123894,None
0,/Engine/EngineMaterials/DefaultWhiteGrid,Texture2D,Hard,12147,None
0,/Engine/EngineMaterials/EditorBrushMaterial,Material,Hard,33641,None
0,/Engine/EngineMaterials/Good64x64TilingNoiseHighFreq,Texture2D,Hard,5384,None
0,/Engine/EngineMaterials/InvalidLightmapSettings,Texture2D,Hard,176073,None
0,/Engine/EngineMaterials/M_InvalidLightmapSettings,Material,Hard,137225,None
0,/Engine/EngineMaterials/MiniFont,Texture2D,Hard,2991,None
0,/Engine/EngineMaterials/PhAT_JointLimitMaterial,Material,Hard,59740,None
0,/Engine/EngineMaterials/PreintegratedSkinBRDF,Texture2D,Hard,263121,None
0,/Engine/EngineMaterials/RemoveSurfaceMaterial,Material,Hard,10235,None
